Title,Price,Rating,Stock
Digital Fortress,58.0,Five,In stock
"Death Note, Vol 5: ",52.41,One,In stock
"Data, A Love Story: ",32.35,Three,In stock
Critique of Pure Reason,20.75,One,In stock
Booked,17.49,Five,In stock
"Blue Lily, Lily Blue ",34.13,Five,In stock
Approval Junkie: Adventures in ,58.81,Five,In stock
An Abundance of Katherines,10.0,Five,In stock
America's War for the ,51.22,Two,In stock
Alight (The Generations Trilogy ,58.59,Four,In stock
A Girl's Guide to ,31.3,One,In stock
A Game of Thrones ,46.42,Two,In stock
A Feast for Crows ,17.21,Four,In stock
A Clash of Kings ,10.79,Three,In stock
Vogue Colors A to ,52.35,Four,In stock
The Shining (The Shining ,27.88,Three,In stock
The Pilgrim's Progress,50.26,Two,In stock
The Perfect Play (Play ,59.99,Three,In stock
The Passion of Dolssa,28.32,Five,In stock
The Jazz of Physics: ,38.71,Three,In stock
The Hunger Games (The ,29.85,Five,In stock
The Hound of the ,14.82,Two,In stock
The Gunning of America: ,16.81,Four,In stock
The Geography of Bliss: ,28.23,Two,In stock
The Demonists (Demonist #1),52.11,Two,In stock
The Demon Prince of ,27.88,Two,In stock
The Bone Hunters (Lexy ,59.71,Three,In stock
The Beast (Black Dagger ,46.08,Five,In stock
Some Women,13.73,Five,In stock
Shopaholic Ties the Knot ,48.39,Five,In stock
Paper and Fire (The ,49.45,Five,In stock
Outlander (Outlander #1),19.67,Five,In stock
Orchestra of Exiles: The ,12.36,Three,In stock
No One Here Gets ,20.02,Five,In stock
Night Shift (Night Shift ,12.75,Four,In stock
Needful Things,47.51,Four,In stock
Mockingjay (The Hunger Games ,20.44,Four,In stock
Misery,34.79,Two,In stock
Little Women (Little Women ,28.07,Four,In stock
It,25.01,Three,In stock
Harry Potter and the ,13.9,Three,In stock
Harry Potter and the ,24.17,Four,In stock
Harry Potter and the ,31.63,Four,In stock
Harry Potter and the ,48.75,Five,In stock
Harry Potter and the ,14.74,One,In stock
Gone with the Wind,32.49,Three,In stock
God Is Not Great: ,27.8,One,In stock
Girl With a Pearl ,26.77,One,In stock
"Fruits Basket, Vol 4 ",50.44,Four,In stock
Far From True (Promise ,34.93,Two,In stock
Dark Lover (Black Dagger ,12.87,One,In stock
Confessions of a Shopaholic ,48.94,Two,In stock
Changing the Game (Play ,13.38,Three,In stock
Candide,58.63,Three,In stock
Can You Keep a ,21.94,One,In stock
Atlas Shrugged,26.58,Five,In stock
Animal Farm,57.22,Three,In stock
A Walk to Remember,56.43,One,In stock
A New Earth: Awakening ,55.65,Five,In stock
A History of God: ,27.62,One,In stock
'Salem's Lot,49.56,Four,In stock
Zero History (Blue Ant ,34.77,One,In stock
Wuthering Heights,17.73,Three,In stock
World War Z: An ,21.8,One,In stock
Wild: From Lost to ,46.02,Three,In stock
"Where'd You Go, Bernadette",18.13,One,In stock
When You Are Engulfed ,30.89,Five,In stock
We the People: The ,31.95,Three,In stock
We Are All Completely ,24.04,One,In stock
Walk the Edge (Thunder ,32.36,Three,In stock
Voyager (Outlander #3),21.07,Five,In stock
Very Good Lives: The ,50.66,Three,In stock
Vegan Vegetarian Omnivore: Dinner ,13.66,Two,In stock
"Unstuffed: Decluttering Your Home, ",58.09,One,In stock
Under the Banner of ,30.0,One,In stock
Two Boys Kissing,32.74,Two,In stock
Twilight (Twilight #1),41.93,Two,In stock
Twenties Girl,42.8,Two,In stock
Trespassing Across America: One ,53.51,One,In stock
Three-Martini Lunch,23.21,Three,In stock
"Thinking, Fast and Slow",21.14,One,In stock
The Wild Robot,56.07,Three,In stock
The Wicked + The ,14.41,Three,In stock
The Undomestic Goddess,45.75,Four,In stock
The Travelers,15.77,One,In stock
The Tipping Point: How ,10.02,Two,In stock
The Thing About Jellyfish,48.77,One,In stock
The Stand,57.86,Two,In stock
The Smitten Kitchen Cookbook,23.59,One,In stock
The Silkworm (Cormoran Strike ,23.05,Five,In stock
"The Sandman, Vol 3: ",55.55,Five,In stock
The Rose & the ,58.64,Four,In stock
The Road to Little ,23.21,One,In stock
The Rise of Theodore ,42.57,Three,In stock
The Restaurant at the ,10.92,One,In stock
The Rest Is Noise: ,34.77,One,In stock
The Red Tent,35.66,Five,In stock
The Purpose Driven Life: ,37.19,Three,In stock
The Purest Hook (Second ,12.25,One,In stock
The Picture of Dorian ,29.7,Two,In stock
The Paris Wife,36.8,Three,In stock
The Obsession,45.43,One,In stock
The Nightingale,26.26,Four,In stock
The New Guy (and ,44.92,Three,In stock
The Nanny Diaries (Nanny ,52.53,Five,In stock
The Name of God ,37.25,Two,In stock
The Maze Runner (The ,20.93,One,In stock
The Lover's Dictionary,58.09,Two,In stock
The Lonely Ones,43.59,Five,In stock
The Lean Startup: How ,33.92,Three,In stock
The Last Painting of ,55.55,Two,In stock
"The Land of 10,000 ",29.64,Four,In stock
The Infinities,27.41,One,In stock
The Husband's Secret,52.51,Five,In stock
The Hitchhiker's Guide to ,47.8,Three,In stock
The Guns of August,14.54,Two,In stock
The Guernsey Literary and ,49.53,One,In stock
The Goldfinch,43.58,Three,In stock
The Giver (The Giver ,12.3,One,In stock
The Girl with All ,49.47,Three,In stock
The Girl Who Played ,22.14,Two,In stock
The Girl Who Kicked ,57.48,One,In stock
The Exiled,43.45,Three,In stock
The End of Faith: ,22.13,Four,In stock
"The Elegant Universe: Superstrings, ",13.03,Four,In stock
The Disappearing Spoon: And ,57.35,Five,In stock
The Devil Wears Prada ,44.29,One,In stock
The Demon-Haunted World: Science ,52.25,Four,In stock
The Day the Crayons ,26.33,Five,In stock
The Da Vinci Code ,22.96,Two,In stock
The Cuckoo's Calling (Cormoran ,19.21,One,In stock
The Complete Stories and ,26.78,Four,In stock
The Complete Poems,41.32,Five,In stock
The Catcher in the ,24.55,One,In stock
The Cat in the ,16.26,Two,In stock
The Case for Christ ,47.84,One,In stock
The Book Thief,53.49,Two,In stock
The Book of Basketball: ,44.84,Five,In stock
The Blind Side: Evolution ,53.71,Five,In stock
The Autobiography of Malcolm ,23.43,Two,In stock
The Art of Simple ,34.32,Three,In stock
The Art of Fielding,22.1,One,In stock
"Surely You're Joking, Mr ",25.83,Two,In stock
Stiff: The Curious Lives ,36.74,Three,In stock
Spilled Milk: Based on ,49.51,One,In stock
Something Borrowed (Darcy & ,48.96,Five,In stock
Something Blue (Darcy & ,54.62,One,In stock
Soldier (Talon #3),24.72,Two,In stock
Shopaholic & Baby (Shopaholic ,46.45,Two,In stock
Seven Days in the ,52.33,Two,In stock
Seven Brief Lessons on ,30.6,Four,In stock
Scarlet (The Lunar Chronicles ,14.57,Four,In stock
Sarah's Key,46.29,One,In stock
"Saga, Volume 3 (Saga ",21.57,Five,In stock
Running with Scissors,12.91,Four,In stock
Rogue Lawyer (Rogue Lawyer ,50.11,Three,In stock
Rise of the Rocket ,41.67,Four,In stock
Rework,44.88,Two,In stock
Reservations for Two,11.1,Three,In stock
Red: The True Story ,28.54,Three,In stock
Ready Player One,19.07,Four,In stock
Quiet: The Power of ,43.55,One,In stock
Prodigy: The Graphic Novel ,43.63,Three,In stock
Persepolis: The Story of ,39.13,One,In stock
Packing for Mars: The ,56.68,Two,In stock
Outliers: The Story of ,14.16,One,In stock
Original Fake,31.45,Three,In stock
Orange Is the New ,24.61,Two,In stock
One for the Money ,32.87,Two,In stock
Notes from a Small ,40.17,One,In stock
Night (The Night Trilogy ,13.51,One,In stock
Neither Here nor There: ,38.95,Three,In stock
Naked,31.69,Three,In stock
Morning Star (Red Rising ,29.4,One,In stock
Miracles from Heaven: A ,57.83,One,In stock
Midnight Riot (Peter Grant/ ,55.46,Two,In stock
Me Talk Pretty One ,57.6,Two,In stock
Manuscript Found in Accra,34.98,Two,In stock
Lust & Wonder,11.87,Two,In stock
Lila (Gilead #3),12.47,Three,In stock
"Life, the Universe and ",33.26,Two,In stock
Life Without a Recipe,59.04,Five,In stock
Life After Life,26.13,Two,In stock
Letter to a Christian ,22.2,One,In stock
Let's Pretend This Never ,45.11,One,In stock
Legend (Legend #1),43.69,Four,In stock
"Lean In: Women, Work, ",25.02,One,In stock
Lamb: The Gospel According ,55.5,Five,In stock
Lady Renegades (Rebel Belle ,53.04,Five,In stock
Jurassic Park (Jurassic Park ,44.97,One,In stock
It's Never Too Late ,42.38,One,In stock
Is Everyone Hanging Out ,20.11,Three,In stock
Into the Wild,56.7,Five,In stock
Inferno (Robert Langdon #4),41.0,Five,In stock
In the Garden of ,28.85,Three,In stock
If I Run (If ,49.97,Four,In stock
I've Got Your Number,19.69,One,In stock
I Am Malala: The ,28.88,Two,In stock
Hungry Girl Clean & ,33.14,Three,In stock
House of Lost Worlds: ,43.7,Two,In stock
House of Leaves,54.89,One,In stock
Horrible Bear!,37.52,Two,In stock
Holidays on Ice,51.07,Two,In stock
Heir to the Sky,44.07,Four,In stock
Green Eggs and Ham ,10.79,Four,In stock
"Grayson, Vol 3: Nemesis ",42.72,One,In stock
Gratitude,26.66,Five,In stock
Gone Girl,37.6,Five,In stock
Golden (Heart of Dread ,42.21,Four,In stock
Girl in the Blue ,46.83,Two,In stock
"Fruits Basket, Vol 3 ",45.17,Two,In stock
Friday Night Lights: A ,51.22,Three,In stock
Fire Bound (Sea Haven/Sisters ,21.28,Four,In stock
Fifty Shades Freed (Fifty ,15.36,Five,In stock
Fellside,38.62,One,In stock
Extreme Prey (Lucas Davenport ,25.4,Three,In stock
Eragon (The Inheritance Cycle ,43.87,Three,In stock
Eclipse (Twilight #3),18.74,One,In stock
Dune (Dune #1),54.86,One,In stock
Dracula,52.62,Three,In stock
Do Androids Dream of ,51.48,One,In stock
Disrupted: My Misadventure in ,15.28,Five,In stock
Dead Wake: The Last ,39.24,Five,In stock
"David and Goliath: Underdogs, ",17.81,One,In stock
Darkfever (Fever #1),56.02,One,In stock
Dark Places,23.9,Five,In stock
Crazy Rich Asians (Crazy ,49.13,Five,In stock
Counting Thyme,10.62,One,In stock
Cosmos,36.17,Two,In stock
Civilization and Its Discontents,59.95,Two,In stock
Cinder (The Lunar Chronicles ,26.09,One,In stock
Catastrophic Happiness: Finding Joy ,37.35,Two,In stock
Career of Evil (Cormoran ,24.72,Two,In stock
Breaking Dawn (Twilight #4),35.28,Five,In stock
Brave Enough,51.32,Five,In stock
Boy Meets Boy,21.12,Three,In stock
Born to Run: A ,27.35,Two,In stock
Blink: The Power of ,21.74,Five,In stock
Black Flags: The Rise ,40.87,One,In stock
"Black Butler, Vol 1 ",49.31,One,In stock
Big Little Lies,22.11,One,In stock
Between Shades of Gray,20.79,Five,In stock
Best of My Love ,27.41,Two,In stock
Beowulf,38.35,Two,In stock
Beautiful Creatures (Caster Chronicles ,21.55,Five,In stock
Awkward,38.02,Two,In stock
Ash,22.06,Four,In stock
Are We There Yet?,10.66,Three,In stock
Are We Smart Enough ,56.58,One,In stock
Annie on My Mind,36.83,Five,In stock
And Then There Were ,35.01,Two,In stock
A Walk in the ,30.48,Four,In stock
A Visit from the ,14.08,Five,In stock
A Storm of Swords ,31.22,Two,In stock
A Heartbreaking Work of ,54.29,Five,In stock
8 Keys to Mental ,31.04,One,In stock
#GIRLBOSS,50.96,One,In stock
The Suffragettes (Little Black ,11.89,Two,In stock
The Sense of an ,31.38,Three,In stock
"The Sandman, Vol 2: ",54.81,One,In stock
The Course of Love,16.78,Three,In stock
Sugar Rush (Offensive Line ,24.42,One,In stock
"Saga, Volume 2 (Saga ",11.75,Three,In stock
"Run, Spot, Run: The ",20.02,One,In stock
New Moon (Twilight #2),12.86,Four,In stock
Life,31.58,Five,In stock
Kindle Paperwhite User's Guide,34.0,Three,In stock
H is for Hawk,57.42,Five,In stock
Girl Online On Tour ,53.47,One,In stock
"Fruits Basket, Vol 2 ",11.64,Five,In stock
Diary of a Minecraft ,52.88,Four,In stock
"Y: The Last Man, ",18.51,Four,In stock
While You Were Mine,41.32,Five,In stock
Where Lightning Strikes (Bleeding ,39.77,Three,In stock
When I'm Gone,51.96,Three,In stock
Ways of Seeing,39.51,Five,In stock
"Vampire Knight, Vol 1 ",15.4,One,In stock
Vampire Girl (Vampire Girl ,53.82,Two,In stock
Twenty Love Poems and ,30.95,Four,In stock
Travels with Charley: In ,57.82,Five,In stock
Three Wishes (River of ,44.18,Two,In stock
This One Moment (Pushing ,48.71,One,In stock
The Zombie Room,19.69,Five,In stock
The Wicked + The ,36.52,Two,In stock
The Tumor,41.56,Five,In stock
The Story of Hong ,43.19,Four,In stock
The Silent Wife,12.34,Five,In stock
The Silent Twin (Detective ,36.25,Three,In stock
The Selfish Gene,29.45,One,In stock
The Secret Healer,34.56,Three,In stock
"The Sandman, Vol 1: ",54.12,Three,In stock
The Republic,33.78,Three,In stock
The Odyssey,29.64,Three,In stock
The No 1 Ladies' ,57.7,Four,In stock
The Nicomachean Ethics,36.34,One,In stock
The Name of the ,50.59,Three,In stock
The Mirror & the ,29.38,One,In stock
The Little Prince,45.42,Two,In stock
The Light of the ,54.43,One,In stock
The Last Girl (The ,36.26,Two,In stock
The Iliad,16.16,One,In stock
The Hook Up (Game ,36.29,Five,In stock
The Haters,27.89,Five,In stock
The Girl You Lost,12.29,Five,In stock
The Girl In The ,15.85,Three,In stock
The End of the ,14.4,One,In stock
The Edge of Reason ,19.18,Four,In stock
The Complete Maus (Maus ,10.64,Three,In stock
The Communist Manifesto,14.76,Three,In stock
The Bhagavad Gita,57.49,Three,In stock
The Bette Davis Club,30.66,Three,In stock
The Art of Not ,40.83,Four,In stock
Taking Shots (Assassins #1),18.88,Two,In stock
Starlark,25.83,Three,In stock
"Skip Beat!, Vol 01 ",42.12,Three,In stock
Sister Sable (The Mad ,13.33,Three,In stock
Shatter Me (Shatter Me ,42.4,One,In stock
Shameless,58.35,Three,In stock
Shadow Rites (Jane Yellowrock ,21.72,Four,In stock
Settling the Score (The ,44.91,Two,In stock
Sense and Sensibility,37.46,One,In stock
"Saga, Volume 1 (Saga ",28.48,One,In stock
"Rhythm, Chord & Malykhin",28.34,Two,In stock
"Rat Queens, Vol 1: ",46.96,Five,In stock
Paradise Lost (Paradise #1),24.96,One,In stock
"Paper Girls, Vol 1 ",21.71,Four,In stock
Ouran High School Host ,29.87,Three,In stock
Origins (Alphas 05),28.99,One,In stock
One Second (Seven #7),52.94,Two,In stock
On the Road (Duluoz ,32.36,Three,In stock
Old Records Never Die: ,55.66,Two,In stock
Off Sides (Off #1),39.45,Five,In stock
Of Mice and Men,47.11,Two,In stock
Myriad (Prentor #1),58.75,Four,In stock
My Perfect Mistake (Over ,38.92,Two,In stock
"Ms Marvel, Vol 1: ",39.39,Four,In stock
Meditations,25.89,Two,In stock
Matilda,28.34,One,In stock
Lost Among the Living,27.7,Four,In stock
Lord of the Flies,24.89,Three,In stock
Listen to Me (Fusion ,58.99,Three,In stock
Kitchens of the Great ,57.2,Five,In stock
Jane Eyre,38.43,Five,In stock
Imperfect Harmony,34.74,Four,In stock
Icing (Aces Hockey #2),40.44,Four,In stock
"Hawkeye, Vol 1: My ",45.24,Three,In stock
Having the Barbarian's Baby ,34.96,Four,In stock
"Giant Days, Vol 1 ",56.76,Four,In stock
"Fruits Basket, Vol 1 ",40.28,Five,In stock
Frankenstein,38.0,Two,In stock
Forever Rockers (The Rocker ,28.8,Three,In stock
Fighting Fate (Fighting #6),39.24,Three,In stock
Emma,32.93,Two,In stock
"Eat, Pray, Love",51.32,Three,In stock
Deep Under (Walker Security ,47.09,Five,In stock
Choosing Our Religion: The ,28.42,Four,In stock
Charlie and the Chocolate ,22.85,Three,In stock
Charity's Cross (Charles Towne ,41.24,One,In stock
Bright Lines,39.07,Five,In stock
Bridget Jones's Diary (Bridget ,29.82,One,In stock
Bounty (Colorado Mountain #7),37.26,Four,In stock
Blood Defense (Samantha Brinkman ,20.3,Three,In stock
"Bleach, Vol 1: Strawberry ",34.65,Five,In stock
Beyond Good and Evil,43.38,One,In stock
Alice in Wonderland (Alice's ,55.53,One,In stock
"Ajin: Demi-Human, Volume 1 ",57.06,Four,In stock
A Spy's Devotion (The ,16.97,Five,In stock
1st to Die (Women's ,53.98,One,In stock
"1,000 Places to See ",26.08,Five,In stock
